Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	N_Src_Pixels_C2	N_Sky_Pixels_C2	N_Src_Pixels_C3	N_Sky_Pixels_C3
BoLyn0001o_clean.fits	1	0	60348.60916339094	2460348.609163391	2460348.6084689465	2460348.6142303618	2460348.6150394073	1.537882571871628	40.475686627405594	-25.4018755085012	120	8.717003333333334	40.99771388888889	5.12518086955636	10	16	22	0.3482195145581176	0.0883849426646228	11.314144353688228	0.0089384679197597	0.0085898696335911	1.0995880303117826	38.95740496962938	10.28943935528305	10.28943935528305	200877.51274944632	2291.252890415888	579.7802933935816	481.13616393175863	580.2802933935816	543.3638360682414	69949.46997525427	314.1592653589792	1608.5319127745845	43.48652918834368	8052	222.65607826439677	5280.242174629325	607	5.165518026222491	5.726349704315679	4.899484277376661	6.553215131254695	62.013016898844455	0.7444113255466762	573.3374335697831	508.8095703706645	573.8374335697831	515.6904296293355	16312.746300499653	1578.5778901590793	10.333824135124404	5945	51.92508418257098	5274.528301886792	5.24467901693947	4.711092678046259	3.899734102527795	5.522451253564723	66.20790408275084	0.7540299341386314	579.7189336326477	349.83442333186036	580.2189336326477	674.6655766681397	184564.76644894667	1660.7021564808274	111.13658504548191	13001	587.4878980190214	5303.535528596187	4.965345565507119	5.707959423345674	4.889298231343215	6.526620615348132	66.4757172899322	0.8298452489091676	314.15926535897927	636	314.1592653589792	577
BoLyn0002o_clean.fits	2	0	60348.61062390031	2460348.6106239003	2460348.609929456	2460348.6156908334	2460348.6164998794	1.5257535998214737	40.867692146825576	-25.4018755085012	120	8.717003333333334	40.99771388888889	4.666311987689251	10	16	22	0.3488783283476493	0.093449607202208	10.700954556568451	0.0088678117231794	0.008595787718221	0.9843073342358413	39.34209918279216	10.871558287103538	10.871558287103538	200940.34013291565	2261.4903634325515	576.2596334363216	480.0288889953529	576.7596334363216	544.4711110046471	70103.72996317968	314.1592653589792	1597.709062757203	43.8776568258304	8471	223.14710305638926	5189.464226289518	601	4.621909011643496	5.520268978708939	5.4626898919096805	5.577848065508199	50.31786961181807	0.9872274233497642	570.0123365345321	507.71880034113525	570.5123365345321	516.7811996588648	17172.986969692633	1572.3046091346073	10.922175556773698	6066	54.66331527758584	5183.510500807754	4.575341011536394	5.243709923027775	5.264276718480044	5.223143127575506	44.43951801483028	0.83922447417391	576.1858890779578	348.7261487076099	576.6858890779578	675.7738512923901	183767.35316322302	1625.4835834275173	113.05395824160132	13498	584.9496526968203	5215.984076433121	4.801685939887863	5.197201185099715	4.908863458592587	5.485538911606842	73.2453624583774	0.9823991194945897	314.1592653589792	619	314.1592653589791	628
BoLyn0003o_clean.fits	3	0	60348.612091319636	2460348.6120913196	2460348.611396875	2460348.6171582155	2460348.617967261	1.5138435159162549	41.26104709517023	-25.4018755085012	120	8.717003333333334	40.99771388888889	4.772750476771062	10	16	22	0.3411294143042509	0.0966096415589561	10.350933756334758	0.0086279781680178	0.0084584133922705	0.906249886598092	39.537584317117464	11.421721436225944	11.421721436225944	203630.74187805853	2249.058066549824	572.7270833333333	476.132791857179	573.2270833333333	548.367208142821	69464.43571120221	314.1592653589794	1580.5528073478843	43.949455777919404	8372	221.11216625054016	5122.418152350081	617	4.8578715225791536	5.019214639692521	5.234960375451758	4.803468903933284	36.66162994315031	0.9105888783754659	566.3134679513372	503.95191890304625	566.8134679513372	520.5480810969538	17939.558652116684	1562.8616433429113	11.478660781350126	5964	57.103388727427	5119.38126009693	4.781324588324399	5.908920092987939	6.130124427266498	5.68771575870938	6.131880955238306	0.9941458295018201	572.6391631950912	344.8551681525289	573.1391631950912	679.6448318474711	185691.18322594184	1617.3205218757128	114.81408954768199	13811	591.0733939798297	5147.4992	4.679055319409635	5.212939590833059	5.021402367972071	5.404476813694047	54.689232250876785	0.9510830740237661	314.15926535897927	619	314.1592653589793	625
BoLyn0004o_clean.fits	4	0	60348.61354357656	2460348.6135435766	2460348.612849132	2460348.618610435	2460348.619419481	1.5023218818305824	41.64981496253924	-24.9367560713856	120	8.717003333333334	40.99771388888889	5.654902928203433	10	16	22	0.3294650934603193	0.0871751531546167	11.471158510342592	0.0085904019592496	0.0083908734154392	1.1041338673418184	38.35269816513905	10.389282359356653	10.389282359356653	199734.04553720937	2225.9996930913167	569.110768123502	479.36773490937344	569.610768123502	545.1322650906266	65805.39598012436	314.1592653589791	1551.159338652828	42.42336318413035	7089	209.46508104712677	4954.735576923077	624	6.34589042691356	7.995334671009289	4.50932222612118	11.481347115897398	83.63776974807	0.4357452634412591	562.7708267300582	507.6366868764524	563.2708267300582	516.8633131235476	16015.676921399543	1535.1394182615757	10.432718182388955	5487	50.97948298007052	4952.808988764045	4.696054339328553	7.401142738494845	3.9117404349425082	10.890545042047181	78.83881399531434	0.3045267917749699	569.0436033493592	348.1550229940398	569.5436033493592	676.3449770059601	183718.36861580983	1611.9620343364627	113.97189555486922	10275	584.7937300397008	4973.491319444444	5.922764018368184	8.338523037167587	4.829618114465973	11.847427959869199	83.29082617482123	0.4596749927925613	314.15926535897927	623	314.15926535897955	576
BoLyn0005o_clean.fits	5	0	60348.61500372691	2460348.615003727	2460348.6143092825	2460348.6200705483	2460348.620879594	1.490996779290482	42.04014697801003	-25.4018755085012	120	8.717003333333334	40.99771388888889	5.917179372907188	10	16	22	0.3367332491614446	0.095949275363326	10.422173551737144	0.0083001665671831	0.008129076324461	0.8829941023320437	40.56945682184354	11.803219890383774	11.803219890383774	207406.44197517168	2213.0068333119716	565.5356886036168	469.69989759172677	566.0356886036168	554.8001024082732	69840.6451033142	314.1592653589793	1551.862515788357	45.00440238279398	7396	222.30967793838457	4926.668292682927	615	5.989095419062143	5.687384021252675	5.150122337143776	6.224645705361574	63.10810369051438	0.8995478773407133	559.1827112291113	497.45899149146624	559.6827112291113	527.0410085085338	18158.228907634504	1530.7515962392504	11.86229624208502	5538	57.79943776888356	4919.808988764045	5.737618449721453	6.158135060903028	5.1743614779446325	7.141908643861423	74.92620724272246	0.8701932194882985	565.3964895397127	338.4396016448073	565.8964895397127	686.0603983551928	189248.21306753717	1598.1860952018283	118.41437842295694	12013	602.3957716201353	4943.59234608985	6.024824249937964	5.893627066173272	5.278921889657421	6.508332242689123	60.444968803090525	0.8384396508419807	314.1592653589794	623	314.15926535897927	601
BoLyn0006o_clean.fits	6	0	60348.61647201376	2460348.6164720138	2460348.6157775694	2460348.621538798	2460348.6223478434	1.4798637760990023	42.432073448786134	-24.9367560713856	120	8.717003333333334	40.99771388888889	7.152901014505346	10	16	22	0.3470380310765177	0.0897338797532221	11.144062897426352	0.0083718386506391	0.008078633578006	1.003286617787492	41.453024306676426	11.107556604315036	11.107556604315036	204832.14142480073	2195.0641816227862	561.6169679955082	468.1656737060482	562.1169679955082	556.3343262939518	71084.54306124966	314.15926535897927	1536.3328329713838	46.26897345138864	7343	226.2691281125315	4846.641025641025	624	7.000176820145793	6.950854832741385	5.164211470907601	8.737498194575169	73.27970869872259	0.666051292281951	555.1655627745113	495.61163616393566	555.6655627745113	528.8883638360644	16866.854458421003	1511.772283820808	11.157007334326979	5436	53.68886522938552	4843.4796875	7.395469161953864	7.034391956301418	5.369840006924499	8.698943905678336	67.19873521122629	0.5896640347752906	561.4958615797887	336.8903217590343	561.9958615797887	687.6096782409656	187965.28696637973	1591.4934254700925	118.10622900365352	11332	598.3120910077185	4876.201013513513	7.06305706141638	6.8264848880171165	4.8758505392404965	8.777119236793737	72.92112070963269	0.5923257630199862	314.1592653589793	640	314.1592653589795	592
BoLyn0007o_clean.fits	7	0	60348.61792947911	2460348.617929479	2460348.6172350347	2460348.622996226	2460348.6238052715	1.469059389848264	42.82050949227079	-24.9367560713856	120	8.717003333333334	40.99771388888889	4.103782648066605	10	16	22	0.3426479866294264	0.0914703697463408	10.932501997894285	0.008248415916166	0.0080907216067492	0.9669998096157282	41.541065595137525	11.305588573216683	11.305588573216683	206260.68672966305	2194.6188291350704	557.806291954714	463.8523260958345	558.306291954714	560.6476739041655	70674.80902872188	314.15926535897944	1526.1148735120973	46.31028126085664	8247	224.96490417993596	4786.378594249201	626	4.150272328561127	5.996279368894513	5.483477023871509	6.509081713917515	300.48769179085957	0.8775238682351627	551.3801807172215	491.6456563566398	551.8801807172215	532.8543436433602	17285.619291416137	1522.0900450641218	11.35650242735011	5795	55.02183509267004	4787.350168350168	4.021034574307402	5.0901775162041085	6.057558833794158	4.122796198614059	335.8079174885983	0.6948869755199276	557.7009658785485	332.5957978955403	558.2009658785485	691.9042021044597	188975.06743824692	1581.0103414939722	119.52804006308735	14731	601.5263220784257	4813.354621848739	4.140041041331283	5.565614729204661	4.973652517246707	6.157576941162616	296.2533496174313	0.8805767255167223	314.1592653589795	594	314.1592653589792	595
BoLyn0008o_clean.fits	8	0	60348.61938951397	2460348.619389514	2460348.6186950696	2460348.6244562236	2460348.625265269	1.4584759747552076	43.20900243828553	-24.9367560713856	120	8.717003333333334	40.99771388888889	10.138923268202443	10	16	22	0.3239959238662143	0.0924851003747133	10.812552464649897	0.0079806873416482	0.0079725019525807	0.9320754941881655	40.597496179984695	11.600511473662971	11.600511473662971	208731.9798183092	2186.0615864633837	553.6589639621002	464.98173710040135	554.1589639621002	559.5182628995987	67628.3106416571	314.1592653589792	1507.7527288258689	44.8537146368299	6600	215.26759863147916	4723.633126934985	646	11.164244885160437	8.339105171487823	4.110022893464034	12.56818744951161	77.97507556861883	0.2194722647181244	547.2562505521689	491.30937320299023	547.7562505521689	533.1906267970098	17670.35367190605	1516.2606992487322	11.653902050393611	5239	56.24648266131742	4716.0360824742265	9.199286687188325	8.581684918109696	4.122524056284781	13.04084577993461	80.9978181957249	0.2596728852786392	553.4778135803713	333.26716802632484	553.9778135803713	691.2328319736752	191061.62614640314	1574.7440273658929	121.32868760010216	10194	608.168044727516	4739.815384615385	10.053238232258568	8.942939530753304	5.037253194174578	12.848625867332027	78.06820957040146	0.356594831627171	314.1592653589793	582	314.1592653589791	585
BoLyn0009o_clean.fits	9	0	60348.62084934022	2460348.62084934	2460348.620154896	2460348.6259160126	2460348.6267250576	1.4481282028284306	43.596784213334004	-24.9367560713856	120	8.717003333333334	40.99771388888889	6.450940121426114	10	16	22	0.3304988206453906	0.0975248957798511	10.253792039494828	0.007756993297627	0.0077126897638412	0.8109141391146935	42.606562615762094	12.644732092955355	12.644732092955355	213407.43405044405	2145.313294217592	549.6920199304018	457.100272160774	550.1920199304018	567.399727839226	70530.90527063073	314.1592653589793	1495.8726332571073	47.15034134761661	6904	224.50684429134188	4605.177496038035	631	6.453871518260696	6.467710834565973	5.410997180584856	7.524424488547091	64.31603861405236	0.7401151090903482	543.073043554465	484.83252695155215	543.573043554465	539.6674730484478	18963.157778417924	1492.1353112161248	12.708738702097005	5191	60.36160594133472	4606.5351170568565	6.478195554388437	7.139135083920063	5.391772595215717	8.88649757262441	85.05372794173687	0.7802084362385753	549.5855686964193	325.75363338237804	550.0855686964193	698.746366617622	194444.27627202612	1541.3959074062361	126.14817214561359	11437	618.935354492382	4628.329617834395	6.420753291629208	6.6859923220185	5.579555307629561	7.792429336407438	67.58634899564998	0.7936832273851607	314.15926535897944	598	314.15926535897927	628
BoLyn0010o_clean.fits	10	0	60348.62230910873	2460348.6223091087	2460348.6216146643	2460348.627375744	2460348.628184789	1.4380091072582053	43.983867025149145	-24.9367560713856	120	8.717003333333334	40.99771388888889	6.676828503243809	10	16	22	0.3261706477436756	0.0988697276027614	10.114319359893432	0.0077874134649009	0.0076082879825035	0.7783237225681432	41.88433672024473	12.99500332139486	12.99500332139486	212085.7702397036	2139.95686778004	545.7546150035595	454.59687595095124	546.2546150035595	569.9031240490488	69176.15305630048	314.1592653589793	1496.8599071944639	46.21417991344028	6848	220.1945340598349	4515.45777027027	592	6.9641109481826255	6.195528774666581	4.640989393872276	7.750068155460885	68.12567739159951	0.5728866179654897	539.2188318981655	482.47606067788576	539.7188318981655	542.0239393221143	19082.20947879413	1460.2589985243217	13.0676883334243	5097	60.74055927330217	4514.193447737909	6.505063997996848	7.315654335089109	5.71966620897462	8.911642461203598	84.88243114046806	0.8208734160221335	545.6040310099137	323.329458445024	546.1040310099137	701.170541554976	193003.56076090946	1564.3078511558087	123.37952572334552	11329	614.3494145887142	4538.966728280961	6.561310563551952	6.420842554932699	5.047319939897917	7.794365169967482	68.32195260675982	0.6834123673717347	314.15926535897904	641	314.15926535897927	541
